Situação,Cod. Registro,Instituto,Cargo,Abrangência,Turno,Cenário,Candidato,Partido,Pontuação (%),Margem de Erro,Divulgação,Fonte de Coleta
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Simone Tebet,MDB,16%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Guilherme Derrite,PP,15%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Marina Silva,Rede,15%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Ricardo Salles,Novo,12%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Coronel Mello Araújo,PL,11%,2,09/03/2026,
F,SP-00705/26,RealTime BigData,Senador,São Paulo,1,Cenário 1,Paulinho da Força,Solidariedade,6%,2,09/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,1,Cenário 1,Eduardo Braide,PSD,"34,60%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,1,Cenário 1,Orleans Brandão,MDB,"30,30%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,1,Cenário 1,Lahesio Bonfim,Novo,"16,10%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,1,Cenário 1,Felipe Camarão,PT,"6,90%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,2,Cenário 2,Eduardo Braide,PSD,"47,30%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,2,Cenário 2,Orleans Brandão,MDB,"39,10%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,2,Cenário 3,Orleans Brandão,MDB,"47,10%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Governador,Maranhão,2,Cenário 3,Lahesio Bonfim,Novo,"36,80%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Senador,Maranhão,1,Cenário 1,Orleans Brandão,MDB,"34,60%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Senador,Maranhão,1,Cenário 1,Roberto Rocha,PRTB,"27,80%","2,8 p,p,",10/03/2026,
F,MA-00634/2026,Paraná Pesquisas,Senador,Maranhão,1,Cenário 1,Weverton Rocha,PDT,"20,50%","2,8 p,p,",10/03/2026,
F,BR-07946/2026,RealTime BigData,Presidente,Bahia,1,Cenário 1,Lula,PT,55%,2,11/03/2026,
F,BR-07946/2026,RealTime BigData,Presidente,Bahia,1,Cenário 1,Flávio Bolsonaro,PL,22%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Eduardo Paes,PSD,46%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Douglas Ruas,PL,13%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Ítalo Marsili,Novo,5%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Wilson Witzel,DC,5%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,William Siri,PSOL,3%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Bombeiro Rafa Luz,Missão,2%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Branco/Nulo/Nenhum,,10%,2,11/03/2026,
F,RJ-04191/2026,RealTime BigData,Governador,Rio de Janeiro,1,Cenário 1,Indeciso/não sabe,,16%,2,11/03/2026,
F,BR-04367/2026,RealTime BigData,Presidente,Rio de Janeiro,1,Cenário 1,Flávio Bolsonaro,PL,40%,2,11/03/2026,
F,BR-04367/2026,RealTime BigData,Presidente,Rio de Janeiro,1,Cenário 1,Lula,PT,35%,2,11/03/2026,
F,BR-04367/2026,RealTime BigData,Presidente,Rio de Janeiro,1,Cenário 1,Ratinho Jr.,PSD,6%,2,11/03/2026,
F,BR-04367/2026,RealTime BigData,Presidente,Rio de Janeiro,1,Cenário 1,Romeu Zema,Novo,4%,2,11/03/2026,
F,BA-08855/2026,RealTime BigData,Governador,Bahia,1,Cenário 1,ACM Neto,União Brasil,44%,2,12/03/2026,
F,BA-08855/2026,RealTime BigData,Governador,Bahia,1,Cenário 1,Jerônimo Rodrigues,PT,39%,2,12/03/2026,
F,BR-05044/2026,RealTime BigData,Presidente,Minas Gerais,1,Cenário 1,Lula,PT,35%,#ERROR!,12/03/2026,
F,BR-05044/2026,RealTime BigData,Presidente,Minas Gerais,1,Cenário 1,Flávio Bolsonaro,PL,31%,#ERROR!,12/03/2026,
F,PR-06254/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Sergio Moro,,"44,00%","2,60%",12/03/2026,
F,PR-06254/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Requião Filho,,"23,10%","2,60%",12/03/2026,
F,PR-06254/2026,Paraná Pesquisas,Governador,Paraná,1,Cenário 1,Alexandre Curi,,"11,30%","2,60%",12/03/2026,
F,PR-06254/2026,Paraná Pesquisas,Senador,Paraná,1,Cenário 1,Alvaro Dias,,"49,60%","2,60%",12/03/2026,
F,PR-06254/2026,Paraná Pesquisas,Senador,Paraná,1,Cenário 1,Alexandre Curi,,"33,70%","2,60%",12/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Flávio Bolsonaro,PL,"41,50%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Lula,PT,"35,50%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Ratinho Junior,PSDB,"3,30%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Romeu Zema,Novo,"2,50%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Tereza Cristina,PP,"2,10%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Renan Santos,MDB,"1,60%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,1,Cenário 1,Aldo Rebelo,,"0,60%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,2,Cenário 2,Flávio Bolsonaro,PL,"49,50%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,2,Cenário 2,Lula,MDB,"39,70%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,2,Cenário 3,Lula,PT,"41,00%","2,60%",13/03/2026,
F,BR-06087/2026,Paraná Pesquisas,Presidente,Espírito Santo,2,Cenário 3,Ratinho Junior,PSDB,"40,30%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 1,Lorenzo Pazolini,Republicanos,"42,00%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 1,Ricardo Ferraço,MDB,"36,10%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 1,Helder Salomão,PT,"9,10%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 2,Ricardo Ferraço,MDB,"45,30%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 2,Arnaldinho Borgo,,"19,10%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,1,Cenário 2,Helder Salomão,PT,"10,90%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 1,Lorenzo Pazolini,Republicanos,"47,30%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 1,Ricardo Ferraço,MDB,"40,80%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 2,Lorenzo Pazolini,Republicanos,"58,90%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 2,Helder Salomão,PT,"16,10%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 3,Ricardo Ferraço,MDB,"52,70%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Governador,Espírito Santo,2,Cenário 3,Arnaldinho Borgo,,"23,90%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Senador,Espírito Santo,1,Cenário 1,Renato Casagrande,,"57,80%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Senador,Espírito Santo,1,Cenário 1,Lorenzo Pazolini,Republicanos,"39,50%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Senador,Espírito Santo,1,Cenário 1,Sergio Menegueli,,"21,90%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Senador,Espírito Santo,1,Cenário 2,Renato Casagrande,,"52,10%","2,60%",13/03/2026,
F,ES-05588/2026,Paraná Pesquisas,Senador,Espírito Santo,1,Cenário 2,Paulo Hartung,PSD,"21,70%","2,60%",13/03/2026,
F,MG-06562/2026,RealTime BigData,Governador,Minas Gerais,1,Cenário 2,Cleitinho Azevedo,Republicanos,39%,#ERROR!,13/03/2026,
F,MG-06562/2026,RealTime BigData,Governador,Minas Gerais,1,Cenário 2,Rodrigo Pacheco,PSD,19%,#ERROR!,13/03/2026,
F,MG-06562/2026,RealTime BigData,Senador,Minas Gerais,1,Cenário 1,Marília Campos,PT,20%,#ERROR!,13/03/2026,
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Wilson Lima,,"42,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,David Almeida,,"19,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Eduardo Braga,,"12,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Capitão Alberto Neto,,"8,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Anne Moura,,"2,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Branco/Nulo/Nenhum,,"11,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,1,Cenário 1,Indeciso/não sabe,,"6,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,2,Cenário 1,Wilson Lima,,"52,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,2,Cenário 1,David Almeida,,"34,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,2,Cenário 2,Wilson Lima,,"58,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-02944/2026,Quaest,Governador,Amazonas,2,Cenário 2,Eduardo Braga,,"27,00",3,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,BR-06594/2026 e RN-02267/2026,AtlasIntel,Presidente,Rio Grande do Norte,2,Lula x Flávio Bolsonaro,Indeciso/Não sabe,,,,14/03/2026,https://quaest.com.br/wp-content/uploads/2026/03/RELATÓRIOAMAZONASMAR26.pdf
F,AP-00767/2026,Paraná Pesquisas,Governador,Amapá,1,Cenário 1,Dr. Furlan,MDB,"65,10%","±2,9%",17/03/2026,
F,AP-00767/2026,Paraná Pesquisas,Governador,Amapá,1,Cenário 1,Clécio,,"25,30%","±2,9%",17/03/2026,
F,AP-00767/2026,Paraná Pesquisas,Senador,Amapá,1,Cenário 1,Rayssa Furlan,,"63,80%","±2,9%",17/03/2026,
F,BR-04665/2026,RealTime BigData,Presidente,Rio Grande do Sul,1,Cenário 1,Lula,PT,40%,"2,00%",17/03/2026,
F,BR-04665/2026,RealTime BigData,Presidente,Rio Grande do Sul,1,Cenário 1,Flávio Bolsonaro,PL,40%,"2,00%",17/03/2026,
F,BR-04665/2026,RealTime BigData,Presidente,Rio Grande do Sul,1,Cenário 2,Lula,PT,39%,2,17/03/2026,
F,BR-04665/2026,RealTime BigData,Presidente,Rio Grande do Sul,1,Cenário 2,Eduardo Leite,PSD,16%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Governador,Rio Grande do Sul,1,Cenário 1,Luciano Zucco,PL,31%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Governador,Rio Grande do Sul,1,Cenário 1,Juliana Brizola,PDT,24%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Governador,Rio Grande do Sul,1,Cenário 1,Edegar Pretto,PT,19%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Governador,Rio Grande do Sul,2,Cenário 4,Luciano Zucco,PL,40%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Governador,Rio Grande do Sul,2,Cenário 4,Juliana Brizola,PDT,37%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Senador,Rio Grande do Sul,1,Cenário 1,Marcel Van Hatten,Novo,20%,2,17/03/2026,
F,RS-02550/2026,RealTime BigData,Senador,Rio Grande do Sul,1,Cenário 1,Manuela D'Ávila,PSOL,19%,2,17/03/2026,
F,BR-07004/2026,Paraná Pesquisas,Presidente,Amapá,1,Cenário 1,Flávio Bolsonaro,PL,"41,50%","±2,9%",18/03/2026,
F,BR-07004/2026,Paraná Pesquisas,Presidente,Amapá,1,Cenário 1,Lula,PT,"35,10%","±2,9%",18/03/2026,
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 1,Maria do Carmo Seffair,PL,"42,00","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 1,Omar Aziz,PSD,"40,10","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 1,David Almeida,Avante,"10,00","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 1,Tadeu de Souza,PP,"1,00","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 2,Maria do Carmo Seffair,PL,"42,30","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 2,Omar Aziz,PSD,"40,40","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 2,David Almeida,Avante,"9,80","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 3,Maria do Carmo Seffair,PL,"42,90","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Governador,Amazonas,1,Cenário 3,Omar Aziz (apoiado por Lula),PSD,"40,30","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Senador,Amazonas,1,Cenário 1,Capitão Alberto Neto,PL,"24,00","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Senador,Amazonas,1,Cenário 1,Eduardo Braga,MDB,"19,30","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Presidente,Amazonas,1,Cenário 1,Lula,PT,"45,40","±3 p,p,",18/03/2026,[5]
F,AM-06921/2026,AtlasIntel,Presidente,Amazonas,1,Cenário 1,Flávio Bolsonaro,PL,"41,90","±3 p,p,",18/03/2026,[5]
F,BR-08833/2026,RealTime BigData,Presidente,Goiás,1,Cenário 1,Flávio Bolsonaro,PL,43%,2,18/03/2026,
F,BR-08833/2026,RealTime BigData,Presidente,Goiás,1,Cenário 1,Lula,PT,34%,2,18/03/2026,
F,BR-08833/2026,RealTime BigData,Presidente,Goiás,1,Cenário 3,Ronaldo Caiado,PSD,36%,2,18/03/2026,
F,GO-07569/2026,RealTime BigData,Governador,Goiás,1,Cenário 1,Daniel Vilela,MDB,34%,2,18/03/2026,
F,GO-07569/2026,RealTime BigData,Governador,Goiás,1,Cenário 1,Marconi Perillo,PSDB,24%,2,18/03/2026,
F,GO-07569/2026,RealTime BigData,Senador,Goiás,1,Cenário 1,Gracinha Caiado,União Brasil,28%,2,18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Margarete Coelho,PP,"16,50%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Toni Rodrigues,PL,"8,80%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Tonny Kerley,Novo,"3,10%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Mainha,Pode,"2,30%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Lourdes Melo,PCO,"1,30%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 1,Lúcia Santos,PSDB,"0,50%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 2,Joel Rodrigues,PP,"33,80%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 2,Toni Rodrigues,PL,"3,30%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 2,Tonny Kerley,Novo,"1,90%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 2,Lúcia Santos,PSDB,"1,40%","±3 p,p,",18/03/2026,
F,PI-06908/2026,AtlasIntel,Governador,Piauí,1,Cenário 2,Lourdes Melo,PCO,"1,30%","±3 p,p,",18/03/2026,
